22,18,23,17,16,20,15,21,20,28,14,12,13,20,8.4,8.1,16,13,17,12,24,29,19,20,16,21,1.6,17,22,7.8,10,4.6,28,4.6,12,14,26,22,9.3,13,19,18,23,28,12,6.7,5.3
12,9.8,12,6.6,7.6,10,6.6,11,14,18,20,10,14,18,9.2,14,16,21,7.3,13,15,19,9.2,16,11,11,9,7.4,24,2.7,2.8,16,18,10,6.8,12,16,14,16,6.8,9.3,10,12,18,8.9,4.2,8.5
14,23,31,24,27,23,20,25,31,16,10,33,30,39,15,25,7.7,20,26,33,22,20,27,5.7,9.9,15,30,13,2.9,17,27,27,15,16,11,34,29,32,17,24,20,30,31,27,26,20,31
27,22,27,21,21,25,20,25,21,33,13,17,11,21,11,5.5,17,11,22,13,29,34,24,31,25,26,5.6,22,25,12,15,1.2,33,7.2,16,16,31,26,9,18,24,23,28,33,16,11,11
6.7,24,22,19,22,13,21,16,31,5.1,24,27,31,34,23,29,16,35,18,29,12,6,17,13,9.6,9.4,27,13,16,23,19,31,3.1,25,13,28,20,27,36,21,9.9,22,21,13,23,23,23
20,20,23,17,19,20,18,20,22,28,11,14,14,23,5.1,12,11,12,18,14,22,29,19,19,15,19,5.6,15,19,7.1,9.6,7.8,27,1.2,11,17,26,23,5.9,15,18,20,22,28,13,7.8,7.5
14,14,17,10,13,14,12,15,23,22,13,19,23,26,6.9,22,6.9,18,13,18,15,23,13,11,6.1,13,9.9,6.6,14,4.9,8.1,13,21,9,3,20,19,18,14,14,12,16,17,22,13,7.6,10
24,10,15,16,11,22,12,20,6.7,32,32,5.8,8.6,7.2,23,14,27,35,15,5.1,26,31,17,28,22,22,15,19,37,14,13,18,30,19,21,3.5,24,13,28,8.2,21,9.7,16,30,7.8,13,12
22,13,9.7,16,20,11,18,8.1,21,18,33,27,31,24,27,31,29,38,10,31,14,14,9.3,29,23,23,29,20,33,26,21,33,23,29,23,22,1.5,14,33,24,15,15,7.4,8.5,25,25,25
22,6.5,5.8,11,7.2,14,8.8,12,8.4,25,30,14,17,10,24,22,26,36,9.6,15,21,26,8.8,27,21,18,23,17,36,16,14,27,30,26,20,13,15,1.8,31,11,16,4.9,6.9,23,12,19,19
24,25,27,21,24,24,22,25,33,32,8.6,25,19,29,7.5,14,12,7.1,22,22,26,34,23,21,19,23,13,20,18,14,16,9.5,32,4.7,16,25,30,29,0.9,26,22,26,27,33,25,16,13
16,7.6,13,10,6.3,14,7.2,14,11,22,23,4.8,10,15,17,14,20,29,10,7.5,18,23,13,20,14,15,13,11,30,5.8,3.4,16,22,15,14,8.4,20,12,18,1.1,13,8.3,15,22,2.4,5.1,5.3
8.3,12,15,7.3,11,7.6,9.6,12,20,7.7,22,17,21,23,16,21,18,27,9.5,20,4.1,10,10,18,6.5,4.7,19,6,23,15,11,23,13,18,12,21,14,16,22,14,0.9,14,14,12,15,15,15
24,6.5,9.9,12,7.9,18,9.5,14,3.3,26,31,9.6,13,6.1,25,18,28,37,11,10,23,27,12,28,22,19,19,18,37,15,13,21,28,28,22,7.1,21,6.2,32,9.3,17,3.8,11,26,9.9,16,16
20,8.9,3.7,8.8,8.9,10,8,7.6,15,18,28,17,21,17,26,31,28,38,6.6,18,14,19,4.8,29,18,22,24,15,32,21,16,28,23,24,18,16,8.4,7.6,28,14,15,8.9,1.5,18,15,20,19
22,21,19,16,20,10,18,13,29,8.9,33,27,31,31,27,31,29,38,16,31,9.8,8.2,14,29,23,24,29,20,32,26,21,33,15,29,23,31,7.9,25,33,24,13,23,19,1.8,25,25,25
21,3.8,8.1,9.2,4.1,16,6.2,13,6,24,27,6.8,10,9.9,21,15,23,33,8.4,7.5,20,25,10,24,18,18,17,15,33,11,8.9,22,26,23,17,6,17,6.7,28,4.2,15,2.9,9.6,24,4.8,13,10
17,13,18,12,12,15,11,16,16,24,21,7.6,8.3,17,10,8.9,15,22,13,8.7,20,25,15,22,16,16,4.4,13,31,3.5,5.7,11,24,7.3,11,11,21,17,15,8.4,15,14,18,24,6,0.4,2.8
19,14,20,13,13,17,12,17,14,25,25,7.6,6,15,13,8.1,18,28,14,6.6,21,26,16,23,17,18,6.6,14,32,6,6.9,10,25,8.6,16,9.4,22,18,20,9.5,16,15,20,25,6.2,3.1,2
